geonameid;name;asciiname;latitude;longitude;feature code;country code;admin1 code;admin2 code;population;modification date
3139064;Ski;Ski;59.72049;10.83882;ADM2;NO;01;0213;27699;2014-07-10
3139111;Skedsmo;Skedsmo;59.95448;11.03952;ADM2;NO;01;0231;46668;2010-12-07
3139147;Skaun;Skaun;63.32386;10.06745;ADM2;NO;16;1657;6437;2014-07-10
3139372;Skånland;Skanland;68.58378;16.57305;ADM2;NO;18;1913;2841;2014-07-10
3139612;Sirdal;Sirdal;58.6651;6.71585;ADM2;NO;19;1046;1739;2014-02-03
3139675;Siljan;Siljan;59.28251;9.73368;ADM2;NO;17;0811;2404;2014-02-04
3139735;Sigdal;Sigdal;60.04592;9.63673;ADM2;NO;04;0621;3534;2010-12-07
3139893;Seljord;Seljord;59.48274;8.62672;ADM2;NO;17;0828;2925;2014-06-08
3139908;Selje;Selje;62.04263;5.34449;ADM2;NO;15;1441;2874;2014-02-04
3139922;Sel;Sel;61.77278;9.53415;ADM2;NO;11;0517;6015;2010-12-07
3139940;Selbu;Selbu;63.2177;11.03938;ADM2;NO;16;1664;4004;2010-12-07
3140043;Sauherad;Sauherad;59.39642;9.2491;ADM2;NO;17;0822;4274;2010-12-07
3140054;Sauda;Sauda;59.65067;6.35312;ADM2;NO;14;1135;4730;2010-12-07
3140273;Sandøy;Sandoy;62.78167;6.46875;ADM2;NO;08;1546;1307;2010-12-07
3140461;Samnanger;Samnanger;60.37745;5.76219;ADM2;NO;07;1242;2379;2010-12-07
3140498;Saltdal;Saltdal;67.10144;15.39458;ADM2;NO;09;1840;4727;2010-12-07
3140541;Salangen;Salangen;68.87669;17.83375;ADM2;NO;18;1923;2203;2010-12-07
3140821;Rygge;Rygge;59.40629;10.69298;ADM2;NO;13;0136;14105;2014-02-04
3141059;Røyrvik;Royrvik;64.8838;13.5631;ADM2;NO;10;1739;499;2014-02-04
3141104;Røyken;Royken;59.74019;10.41321;ADM2;NO;04;0627;18749;2010-12-07
3141198;Røst;Rost;67.51727;12.11564;ADM2;NO;09;1856;606;2017-01-26
3141407;Rømskog;Romskog;59.74968;11.81122;ADM2;NO;13;0121;671;2014-02-04
3141467;Rollag;Rollag;59.98413;9.29489;ADM2;NO;04;0632;1418;2014-02-04
3141558;Rogaland Fylke;Rogaland Fylke;59.09608;6.20442;ADM1;NO;14;;393104;2017-09-21
3141588;Rødøy;Rodoy;66.71195;13.2853;ADM2;NO;09;1836;1292;2014-02-04
3141654;Roan;Roan;64.17281;10.22511;ADM2;NO;16;1632;1010;2014-02-04
3141725;Rissa;Rissa;63.58314;9.95934;ADM2;NO;16;1624;6389;2014-02-04
3141831;Ringsaker;Ringsaker;60.88216;10.9503;ADM2;NO;06;0412;32402;2010-12-07
3141849;Ringebu;Ringebu;61.5298;10.1418;ADM2;NO;11;0520;4537;2014-02-04
3141865;Rindal;Rindal;63.05511;9.21274;ADM2;NO;08;1567;2041;2014-07-10
3141965;Rennesøy;Rennesoy;59.09899;5.69966;ADM2;NO;14;1142;3888;2010-12-07
3141967;Rennebu;Rennebu;62.82864;10.00487;ADM2;NO;16;1635;2621;2014-02-04
3141977;Rendalen;Rendalen;61.89004;11.07694;ADM2;NO;06;0432;2014;2010-12-07
3142395;Randaberg;Randaberg;58.9987;5.62055;ADM2;NO;14;1127;9867;2010-12-07
3142518;Rakkestad;Rakkestad;59.42822;11.3435;ADM2;NO;13;0128;7496;2014-02-04
3142561;Rælingen;Raelingen;59.92626;11.06527;ADM2;NO;01;0228;15345;2010-12-07
3142567;Råde;Rade;59.35162;10.87135;ADM2;NO;13;0135;6790;2014-07-11
3142751;Øystre Slidre;Oystre Slidre;61.13377;9.07872;ADM2;NO;11;0544;3181;2014-07-11
3142849;Øyer;Oyer;61.26495;10.41297;ADM2;NO;11;0521;4917;2010-12-07
3143010;Øvre Eiker;Ovre Eiker;59.77111;9.9084;ADM2;NO;04;0624;16350;2010-12-07
3143058;Overhalla;Overhalla;64.4938;11.94753;ADM2;NO;10;1744;3562;2010-12-07
3143158;Østre Toten;Ostre Toten;60.67659;10.81997;ADM2;NO;11;0528;14464;2014-06-08
3143188;Østfold fylke;Ostfold fylke;59.2752;11.1058;ADM1;NO;13;;258542;2017-09-21
3143242;Oslo County;Oslo County;59.9119;10.7336;ADM1;NO;12;;629313;2017-09-21
3143262;Osen;Osen;64.29875;10.51284;ADM2;NO;16;1633;1028;2010-12-07
3143333;Ørsta;Orsta;62.19937;6.13084;ADM2;NO;08;1520;10200;2014-07-10
